scorer,,,Rahmati,Rahmati,Rahmati,Rahmati,Rahmati,Rahmati
bodyparts,,,P01,P01,P02,P02,P03,P03
coords,,,x,y,x,y,x,y
labeled-data,Cam2_2025-04-21 22-29-36,img006.png,914.761652715994,69.50526278215705,866.9465853915162,401.85917336541286,848.9179534495,503.7601365159394
labeled-data,Cam2_2025-04-21 22-29-36,img007.png,917.8970669667796,71.07296990754972,881.839803082747,399.5076126773238,869.2981460796053,499.84086870245756
labeled-data,Cam2_2025-04-21 22-29-36,img015.png,942.980380973063,69.50526278215702,991.5793018602373,394.8044913011456,1011.9594944903425,500.624722265154
labeled-data,Cam2_2025-04-21 22-29-36,img020.png,942.1965274103666,69.50526278215699,993.9308625483262,404.2107340535018,1011.9594944903425,510.0309650175102
labeled-data,Cam2_2025-04-21 22-29-36,img026.png,925.7356025937431,69.50526278215702,913.9777991532977,415.9685374939472,907.7069706517268,539.0335468372755
labeled-data,Cam2_2025-04-21 22-29-36,img037.png,910.8423849025123,66.36984853137159,851.2695141375891,400.2914662400201,829.3216143820911,513.1663792682957
labeled-data,Cam2_2025-04-21 22-29-36,img052.png,942.1965274103667,67.93755565676432,996.2824232364153,404.2107340535018,1017.446469429217,510.0309650175102
labeled-data,Cam2_2025-04-21 22-29-36,img054.png,938.2772595968848,69.50526278215702,979.8214984197919,409.6977089923764,994.7147161110227,523.3564755833484
labeled-data,Cam2_2025-04-21 22-29-36,img055.png,936.7095524714921,70.28911634485337,969.6314021047392,412.8331232431618,979.8214984197919,525.7080362714374
labeled-data,Cam2_2025-04-21 22-29-36,img056.png,933.5741382207067,69.50526278215702,953.1704772881156,415.9685374939472,961.7928664777755,525.7080362714374
labeled-data,Cam2_2025-04-21 22-29-36,img059.png,924.1678954683505,70.28911634485337,903.7877028382451,418.3200981820363,896.7330207739778,533.546571898401
labeled-data,Cam2_2025-04-21 22-29-36,img063.png,913.9777991532977,69.50526278215702,859.8919033272491,410.48156255507274,839.5117106971437,526.4918898341338
labeled-data,Cam2_2025-04-21 22-29-36,img065.png,910.8423849025123,67.93755565676432,842.6471249479291,407.34614830428734,818.347664504342,517.8695006444738
labeled-data,Cam2_2025-04-21 22-29-36,img074.png,921.032481217565,68.72140921946067,899.0845814620669,403.4268804908055,891.2460458351034,518.6533542071702
labeled-data,Cam2_2025-04-21 22-29-36,img076.png,926.5194561564394,67.93755565676432,929.654870407225,400.2914662400201,932.7902846580104,517.0856470817774
labeled-data,Cam2_2025-04-21 22-29-36,img092.png,925.7356025937431,71.8568234702461,913.1939455906014,417.53624461934,903.0038492755488,536.6819861491864
labeled-data,Cam2_2025-04-21 22-29-36,img102.png,908.4908242144232,67.15370209406794,845.7825391987145,401.0753198027164,821.4830787551275,512.3825257055993
labeled-data,Cam2_2025-04-21 22-29-36,img113.png,940.6288202849739,67.93755565676432,989.2277411721482,398.72375911462734,1008.0402266768607,505.32784364133204
labeled-data,Cam2_2025-04-21 22-29-36,img124.png,928.0871632818322,70.28911634485337,921.032481217565,416.75239105664366,915.5455062786905,534.3304254610973
labeled-data,Cam2_2025-04-21 22-29-36,img132.png,910.058531339816,67.93755565676432,839.5117106971437,404.99458761619826,815.996103816253,514.7340863936884
labeled-data,Cam2_2025-04-21 22-29-36,img145.png,939.8449667222776,68.72140921946067,983.7407662332736,399.5076126773238,1003.3371053006825,504.5439900786357
labeled-data,Cam2_2025-04-21 22-29-36,img150.png,942.1965274103667,67.93755565676432,997.850130361808,405.7784411788946,1015.8787623038243,508.46325789211755
labeled-data,Cam2_2025-04-21 22-29-36,img159.png,921.032481217565,68.72140921946067,895.1653136485852,416.75239105664366,884.9752173335326,532.7627183357046
labeled-data,Cam2_2025-04-21 22-29-36,img166.png,909.2746777771197,66.36984853137159,841.8632713852328,401.0753198027164,817.5638109416457,510.0309650175102
labeled-data,Cam2_2025-04-21 22-29-36,img167.png,910.058531339816,67.15370209406794,847.3502463241073,399.5076126773238,826.1862001313057,506.8955507667248
labeled-data,Cam2_2025-04-21 22-29-36,img175.png,928.8710168445285,67.15370209406794,938.2772595968848,401.85917336541286,947.6835023492412,506.8955507667248
